Date,AGT,AD,WEED,CSH.UN,CSU,DOL,H,KXS,MFI,NPI,PKI,RY,SU,SPB,TCS,TVK,X,ZYME,Market,RiskFree
2/13/2014,0.432647577,0.317063588,NA,0.273253152,0.624550613,0.517617242,NA,NA,0.413857694,0.122990404,0.313872958,0.131161007,0.098719915,0.081085746,0.5713206,0.168994107,-0.038550401,NA,0.287756014,1.611
2/14/2014,0.428311357,0.266430539,NA,0.267062314,0.598300194,0.520891086,NA,NA,0.479420654,0.11470856,0.300035683,0.133335845,0.094126948,0.060006434,0.680884771,0.156241534,-0.020850119,NA,0.291350414,1.572
2/18/2014,0.443146967,0.275883944,NA,0.272216292,0.608578026,0.541699628,NA,NA,0.477126599,0.11338197,0.293228684,0.11630014,0.078913981,0.05750994,0.728152731,0.105760671,0.002511362,NA,0.293886495,1.58
2/19/2014,0.496169127,0.240002454,NA,0.268439401,0.613931764,0.562559798,NA,NA,0.470623101,0.075473301,0.283417358,0.108118212,0.067564083,0.063412462,0.740373807,0.115813326,0.014047039,NA,0.294281802,1.55
2/20/2014,0.444997495,0.214321163,NA,0.262475467,0.63191556,0.567187451,NA,NA,0.476399381,0.054628238,0.273437766,0.084471095,0.074830332,0.123446172,0.764234851,0.156905326,0.014206369,NA,0.29596119,1.507
2/21/2014,0.538700101,0.202029779,NA,0.263848752,0.664526349,0.591254106,NA,NA,0.469944534,0.063679947,0.303334179,0.075460874,0.082776407,0.159593387,0.680675846,0.156905326,0.005063304,NA,0.304128064,1.558
2/24/2014,0.604569138,0.206621028,NA,0.285350738,0.748729881,0.575553053,NA,NA,0.464820589,0.062386258,0.265654328,0.075353306,0.064243853,0.131525163,0.756638742,0.164869854,-0.011541735,NA,0.313912442,1.589
2/25/2014,0.568729458,0.193158699,NA,0.301815637,0.807979618,0.601402848,NA,NA,0.456349717,0.115163399,0.291460183,0.111536255,0.067097512,0.105131746,0.749042032,0.145063228,0.008172842,NA,0.323007369,1.622
2/26/2014,0.541401477,0.199691969,NA,0.280633403,0.835206927,0.569071173,NA,NA,0.394777252,0.1182261,0.263891713,0.124832435,0.065267189,0.123812702,0.674588123,0.12659429,-0.000007,NA,0.308427697,1.602
2/27/2014,0.538710695,0.169968236,NA,0.305668977,0.761908449,0.519204521,NA,NA,0.402291852,0.119473934,0.267449646,0.123614155,0.047141374,0.140436645,0.652107039,0.13137794,0.021867108,NA,0.300087184,1.599
2/28/2014,0.498180282,0.158744914,NA,0.298831839,0.793714532,0.520592798,NA,NA,0.43340615,0.101991815,0.263964642,0.129186383,0.042933746,0.163764665,0.580634916,0.13137794,0.034420851,NA,0.296553248,1.642
3/3/2014,0.491488351,0.160776358,NA,0.274699462,0.761399603,0.495795089,NA,NA,0.442786424,0.108645767,0.259791547,0.112925088,0.052975013,0.157141685,0.610104343,0.256900105,0.039992701,NA,0.301815824,1.673
3/4/2014,0.491519447,0.133762056,NA,0.246127369,0.80521026,0.502149453,NA,NA,0.402166911,0.10475934,0.23991016,0.11385458,0.046210837,0.155708905,0.600202161,0.247658416,0.035551364,NA,0.294627947,1.641
3/5/2014,0.510850809,0.156483282,NA,0.257087807,0.844057736,0.498203192,NA,NA,0.391563969,0.096972745,0.160208054,0.107017292,0.049523315,0.160158754,0.583268816,0.234719564,0.042744361,NA,0.292347121,1.645
3/6/2014,0.511663124,0.112500228,NA,0.248303028,0.842177665,0.499579008,NA,NA,0.357600442,0.096952984,0.140140783,0.115123853,0.039005382,0.175338264,0.583268816,0.181439063,0.041086896,NA,0.28172711,1.618
3/7/2014,0.473620872,0.12470525,NA,0.211893146,0.66045702,0.495972034,NA,NA,0.361746924,0.074747761,0.13265121,0.114436043,0.000740014,0.184993781,0.600202161,0.139252721,0.027451436,NA,0.257347884,1.626
3/10/2014,0.457077993,0.14480719,NA,0.23194938,0.659204089,0.483856345,NA,NA,0.337048293,0.07473068,0.110943406,0.09662561,-0.011476072,0.174945528,0.636023214,0.135001658,0.033537087,NA,0.254591029,1.708
3/11/2014,0.423210039,0.144725338,NA,0.234368566,0.71580299,0.472428322,NA,NA,0.355908818,0.062398936,0.131978101,0.091087334,0.016179358,0.211730667,0.649917501,0.135001658,0.027075126,NA,0.26227234,1.689
3/12/2014,0.447298591,0.120869114,NA,0.255577859,0.745425662,0.484915736,NA,NA,0.364205444,0.066262357,0.142543693,0.096248538,-0.009491417,0.222259256,0.572442996,0.110383892,0.041197591,NA,0.261438522,1.691
3/13/2014,0.448703781,0.124023996,NA,0.23244016,0.677049749,0.483831952,NA,NA,0.33504358,0.066253205,0.153457968,0.094793104,0.001670874,0.244800035,0.569827188,0.162878914,0.049217179,NA,0.26028512,1.7
3/14/2014,0.473595428,0.109446871,NA,0.249393158,0.731892789,0.500165332,NA,NA,0.338566966,0.063706676,0.153016612,0.113540646,-0.00145478,0.245387795,0.633707807,0.153467312,0.061340123,NA,0.273269481,1.679
3/17/2014,0.468630192,0.078047678,NA,0.268071448,0.67644463,0.517882033,NA,NA,0.323104698,0.058690616,0.172739988,0.107142087,-0.001543029,0.240594461,0.58941373,0.153467312,0.072576275,NA,0.266090151,1.631
3/18/2014,0.472686104,0.103855418,NA,0.242147141,0.685706094,0.516197307,NA,NA,0.310750824,0.073826168,0.193261571,0.097178804,0.015592105,0.253245123,0.58122498,0.122436999,0.071568835,NA,0.26711982,1.616
3/19/2014,0.484562321,0.119952053,NA,0.253809696,0.71297191,0.52750374,NA,NA,0.308036795,0.080872965,0.223860134,0.093613213,-0.00431067,0.272865899,0.613254759,0.126050156,0.054981282,NA,0.276287447,1.631
3/20/2014,0.529978705,0.202153086,NA,0.249563999,0.691107535,0.554802474,NA,NA,0.328571641,0.095039857,0.168923309,0.099102257,-0.001272463,0.246509459,0.6435975,0.135842231,0.060749863,NA,0.286047818,1.605
3/21/2014,0.596499495,0.148688978,NA,0.297558416,0.709855199,0.560667593,NA,NA,0.367962675,0.103762205,0.178101476,0.104165093,0.010499628,0.280397751,0.73174242,0.151508998,0.06334985,NA,0.307482841,1.666
3/24/2014,0.62070637,0.169495302,NA,0.281962422,0.681883013,0.599060259,NA,NA,0.403470624,0.101067639,0.193693793,0.104494373,0.002655428,0.258740814,0.699559131,0.166123981,0.059642849,NA,0.310182571,1.689
3/25/2014,0.612468914,0.148757834,NA,0.260174408,0.639106338,0.673232388,NA,NA,0.400363049,0.101132347,0.206022371,0.086534109,0.006858622,0.269474428,0.641525592,0.165217702,0.047565657,NA,0.30417384,1.716
3/26/2014,0.611520817,0.149977712,NA,0.261607801,0.697464645,0.695970906,NA,NA,0.411896446,0.092203633,0.205209571,0.083714018,0.025779976,0.285169635,0.649816222,0.155425878,0.045536901,NA,0.312235297,1.717
3/27/2014,0.577900398,0.152400328,NA,0.256864698,0.681176997,0.723891148,NA,NA,0.418979349,0.068571277,0.218743428,0.080098325,0.011448553,0.26604694,0.674522458,0.187299758,0.046088606,NA,0.31171659,1.717
3/28/2014,0.547963607,0.164359632,NA,0.259512938,0.709254432,0.739226971,NA,NA,0.376444598,0.077996111,0.232835953,0.076955854,-0.008049251,0.26604694,0.725010274,0.155496772,0.049102701,NA,0.312296967,1.693
3/31/2014,0.578997878,0.157664597,NA,0.24660608,0.654660959,0.742670634,NA,NA,0.329177912,0.059326905,0.224044052,0.086409374,-0.015114347,0.229664129,0.721644821,0.117251983,0.038791469,NA,0.29798546,1.676
4/1/2014,0.605374889,0.176854633,NA,0.267472949,0.664454378,0.701006944,NA,NA,0.330581439,0.071043791,0.211035168,0.082246009,-0.008727864,0.206509326,0.694170153,0.134879599,0.049877612,NA,0.299055645,1.647
4/2/2014,0.566794543,0.180572592,NA,0.252662323,0.644881141,0.719076582,NA,NA,0.336955977,0.063600107,0.212577823,0.089903368,0.012273226,0.191404018,0.711027409,0.132906379,0.056419415,NA,0.297932493,1.594
4/3/2014,0.623196238,0.171378624,NA,0.259917514,0.677592031,0.707476695,NA,NA,0.348682398,0.087741078,0.23424938,0.097934943,0.01462406,0.157470058,0.711413013,0.160379191,0.061304417,NA,0.308097117,1.609
4/4/2014,0.605495834,0.180762503,NA,0.259110459,0.737469775,0.701906247,NA,NA,0.335319714,0.095970464,0.255490608,0.108476885,0.012656025,0.157863126,0.735136925,0.142347405,0.071366495,NA,0.31424089,1.609
4/7/2014,0.64616191,0.276312056,-0.208494208,0.268671577,0.866316768,0.758871687,NA,NA,0.354334658,0.072822581,0.269875431,0.115200302,0.021676551,0.149160545,0.71618302,0.113540175,0.043111357,NA,0.297582961,1.642
4/8/2014,0.604289929,0.25996136,-0.433701657,0.263764623,0.860145397,0.78396039,NA,NA,0.347747212,0.075881918,0.265989297,0.123641977,0.015087896,0.107046744,0.678826169,0.109828601,0.021187628,NA,0.272243832,1.613
4/9/2014,0.674127543,0.278002332,-0.475949367,0.287615603,0.820313714,0.613440392,NA,NA,0.352454364,0.089484331,0.258511013,0.128714153,0.029020127,0.097086066,0.69565826,0.104420635,-0.002629155,NA,0.263351334,1.712
4/10/2014,0.700075542,0.311307599,-0.454054054,0.263823265,0.859870312,0.670151803,NA,NA,0.355207117,0.061172854,0.274545706,0.143323481,0.023064568,0.121988881,0.679347987,0.06760658,-0.004345999,NA,0.271539043,1.733
4/11/2014,0.667519035,0.294526,-0.417142857,0.26012788,0.843237341,0.680821538,NA,NA,0.356419362,0.058149214,0.326047364,0.145177255,0.038657397,0.159923319,0.609883166,0.06760658,0.00524722,NA,0.273079988,1.729
4/14/2014,0.660318536,0.304644976,-0.388724036,0.266126294,0.918239966,0.641058638,NA,NA,0.353829386,0.072790481,0.335204538,0.158596056,0.057897604,0.163314298,0.737201532,0.055394694,0.013247784,NA,0.289942717,1.733
4/15/2014,0.636440374,0.309374229,-0.303754266,0.262796536,0.920617488,0.658578807,NA,NA,0.355947329,0.08015198,0.331800667,0.157340542,0.045732287,0.147740529,0.749905447,0.050104581,-0.026964627,NA,0.291720794,1.716
4/16/2014,0.660028636,0.325602803,-0.2,0.264202589,0.878056978,0.64990732,NA,NA,0.312147685,0.084350491,0.330898511,0.144225823,0.026951554,0.127342583,0.76740489,-0.007692279,-0.047202269,NA,0.287748354,1.723
4/17/2014,0.626016214,0.328596474,-0.358730159,0.250743282,0.866326909,0.633626799,NA,NA,0.322090553,0.083719061,0.322224105,0.149725994,0.022386104,0.127926022,0.740869834,-0.004586335,-0.035902673,NA,0.271668812,1.689
4/21/2014,0.605168487,0.333782737,-0.391044776,0.254998425,0.8583334,0.628493612,NA,NA,0.292525594,0.077561605,0.309132756,0.144998518,0.015004824,0.144088209,0.726942786,-0.003139001,-0.011860909,NA,0.265665751,1.695
4/22/2014,0.557826196,0.333187889,-0.452574526,0.241099802,0.888339623,0.604955025,NA,NA,0.27835142,0.084846087,0.332723053,0.146402363,0.022877036,0.121109141,0.690384605,0.002210139,-0.027389784,NA,0.254956538,1.709
4/23/2014,0.569319914,0.361046198,-0.402366864,0.236598461,0.872004524,0.583883558,NA,NA,0.242096438,0.075768497,0.332707373,0.158269624,-0.004326128,0.123705439,0.653826424,0.051498996,-0.030412447,NA,0.254908001,1.707
4/24/2014,0.511321957,0.352105164,-0.395280236,0.245909136,0.845089224,0.594061562,NA,NA,0.243994361,0.083057474,0.332396783,0.157894207,0.008901312,0.139451466,0.63815845,0.051498996,-0.042778571,NA,0.251052086,1.706
4/25/2014,0.437946964,0.354997182,-0.416909621,0.232663378,0.86812747,0.578063354,NA,NA,0.261953218,0.073358126,0.342976282,0.157089351,-0.000379899,0.14574954,0.537739562,-0.009728208,-0.032333187,NA,0.235420901,1.727
